이름,ticker,비율,타율,방치
삼성전자 KOSPI,a005930,0.19,0.52,5.36
에코프로 KOSDAQ,a086520,0.21,0.33,5.06
알테오젠 KOSDAQ,a196170,0.12,0.46,10.56
에코프로비엠 KOSDAQ,a247540,0.55,0.36,2.10
SK하이닉스 KOSPI,a000660,0.04,0.54,25.03
HLB KOSDAQ,a028300,0.68,0.38,1.49
LG에너지솔루션 KOSPI,a373220,1.15,0.49,0.87
현대차 KOSPI,a005380,0.24,0.53,4.57
엘앤에프 KOSPI,a066970,1.27,0.34,0.81
펩트론 KOSDAQ,a087010,0.03,0.29,38.64
삼성바이오로직스 KOSPI,a207940,0.65,0.29,1.53
SK스퀘어 KOSPI,a402340,0.04,0.54,32.00
삼천당제약 KOSDAQ,a000250,0.09,0.33,11.34
포스코DX KOSPI,a022100,0.19,0.43,5.86
파마리서치 KOSDAQ,a214450,0.19,0.23,4.90
레인보우로보틱스 KOSDAQ,a277810,0.05,0.32,23.66
카카오게임즈 KOSDAQ,a293490,3.84,0.23,0.25
에이비엘바이오 KOSDAQ,a298380,0.17,0.45,5.83
POSCO홀딩스 KOSPI,a005490,0.56,0.32,1.80
삼성SDI KOSPI,a006400,0.99,0.41,1.02
한화에어로스페이스 KOSPI,a012450,0.07,0.53,19.06
JYP Ent. KOSDAQ,a035900,0.95,0.24,1.06
LG화학 KOSPI,a051910,1.55,0.44,0.66
KB금융 KOSPI,a105560,0.31,0.31,3.33
리가켐바이오 KOSDAQ,a141080,0.24,0.48,4.50
클래시스 KOSDAQ,a214150,0.34,0.44,3.07
엔켐 KOSDAQ,a348370,1.82,0.33,0.51
HPSP KOSDAQ,a403870,0.31,0.41,3.36
undefined,a950160,1.00,NaN,1.00
기아 KOSPI,a000270,0.40,0.37,2.60
리노공업 KOSDAQ,a058470,1.46,0.42,0.70
셀트리온 KOSPI,a068270,0.98,0.49,1.08
셀트리온제약 KOSDAQ,a068760,1.42,0.49,0.81
휴젤 KOSDAQ,a145020,0.45,0.37,2.24
두산에너빌리티 KOSPI,a034020,0.13,0.50,8.25
에스엠 KOSDAQ,a041510,0.89,0.28,1.14
펄어비스 KOSDAQ,a263750,0.93,0.29,1.08
HD현대중공업 KOSPI,a329180,0.17,0.47,6.69
삼성물산 KOSPI,a028260,0.26,0.50,3.91
NAVER KOSPI,a035420,0.71,0.35,1.50
주성엔지니어링 KOSDAQ,a036930,0.07,0.40,16.39
스튜디오드래곤 KOSDAQ,a253450,2.50,0.24,0.38
신성델타테크 KOSDAQ,a065350,0.22,0.43,4.71
케어젠 KOSDAQ,a214370,0.25,0.40,4.73
천보 KOSDAQ,a278280,4.30,0.32,0.23
카카오 KOSPI,a035720,1.07,0.24,0.88
이오테크닉스 KOSDAQ,a039030,0.16,0.46,6.96
신한지주 KOSPI,a055550,0.38,0.39,2.65
루닛 KOSDAQ,a328130,0.57,0.23,1.67
포스코퓨처엠 KOSPI,a003670,0.93,0.39,1.26
고려아연 KOSPI,a010130,0.51,0.51,2.27
원익IPS KOSDAQ,a240810,0.27,0.40,3.95
로보티즈 KOSDAQ,a108490,0.08,0.34,13.42
실리콘투 KOSDAQ,a257720,0.07,0.29,14.73
undefined,a417200,1.00,NaN,1.00
삼성전기 KOSPI,a009150,0.06,0.39,17.49
현대모비스 KOSPI,a012330,0.26,0.38,3.92
CJ ENM KOSDAQ,a035760,1.85,0.30,0.54
위메이드 KOSDAQ,a112040,2.68,0.40,0.37
보로노이 KOSDAQ,a310210,0.07,0.52,17.57
undefined,a347850,1.00,NaN,1.00
undefined,a0009k0,1.00,NaN,1.00
삼성생명 KOSPI,a032830,0.18,0.50,5.93
한화오션 KOSPI,a042660,0.14,0.47,7.89
ISC KOSDAQ,a095340,0.17,0.44,6.62
솔브레인 KOSDAQ,a357780,0.58,0.29,1.84
더블유씨피 KOSDAQ,a393890,2.69,0.38,0.36
메리츠금융지주 KOSPI,a138040,0.20,0.41,5.02
메지온 KOSDAQ,a140410,0.20,0.37,5.08
동진쎄미켐 KOSDAQ,a005290,0.58,0.33,1.80
LG전자 KOSPI,a066570,0.27,0.31,3.77
테크윙 KOSDAQ,a089030,0.12,0.29,8.48
에스티팜 KOSDAQ,a237690,0.61,0.30,1.63
네이처셀 KOSDAQ,a007390,0.66,0.39,1.86
씨젠 KOSDAQ,a096530,0.98,0.39,1.02
SK이노베이션 KOSPI,a096770,1.25,0.46,0.79
성일하이텍 KOSDAQ,a365340,2.04,0.37,0.49
HD한국조선해양 KOSPI,a009540,0.17,0.50,6.14
다우데이타 KOSDAQ,a032190,0.70,0.23,1.36
대주전자재료 KOSDAQ,a078600,0.59,0.31,1.77
하나금융지주 KOSPI,a086790,0.35,0.29,2.93
넥슨게임즈 KOSDAQ,a225570,1.34,0.31,0.76
HD현대일렉트릭 KOSPI,a267260,0.03,0.36,32.08
undefined,a440110,1.00,NaN,1.00
미래에셋증권 KOSPI,a006800,0.11,0.59,10.15
한국전력 KOSPI,a015760,0.43,0.25,2.37
우리기술 KOSDAQ,a032820,0.10,0.42,11.75
SK KOSPI,a034730,0.31,0.38,3.31
메디톡스 KOSDAQ,a086900,1.02,0.44,0.95
나노신소재 KOSDAQ,a121600,1.28,0.40,0.79
크래프톤 KOSPI,a259960,0.67,0.33,1.48
레이크머티리얼즈 KOSDAQ,a281740,0.32,0.31,3.31
undefined,a450080,1.00,NaN,1.00
삼성화재 KOSPI,a000810,0.38,0.53,2.88
LS ELECTRIC KOSPI,a010120,0.23,0.27,4.74
HMM KOSPI,a011200,0.93,0.36,1.06
파라다이스 KOSPI,a034230,1.01,0.31,1.01
젬백스 KOSDAQ,a082270,0.81,0.27,1.23
LG KOSPI,a003550,0.53,0.30,1.87
대한광통신 KOSDAQ,a010170,0.12,0.30,8.71
삼성에스디에스 KOSPI,a018260,0.41,0.61,2.53
포스코인터내셔널 KOSPI,a047050,0.32,0.45,3.24
올릭스 KOSDAQ,a226950,0.16,0.37,9.09
하림지주 KOSDAQ,a003380,0.58,0.41,1.70
원익홀딩스 KOSDAQ,a030530,0.12,0.36,8.44
현대로템 KOSPI,a064350,0.13,0.48,8.71
HLB생명과학 KOSDAQ,a067630,3.23,0.26,0.30
현대무벡스 KOSDAQ,a319400,0.08,0.51,14.39
KT&G KOSPI,a033780,0.51,0.52,1.98
한미반도체 KOSPI,a042700,0.05,0.39,23.94
파크시스템스 KOSDAQ,a140860,0.41,0.42,2.54
서진시스템 KOSDAQ,a178320,0.20,0.59,5.23
심텍 KOSDAQ,a222800,0.33,0.34,3.30
카카오뱅크 KOSPI,a323410,0.72,0.29,1.40
undefined,a475830,1.00,NaN,1.00
하나마이크론 KOSDAQ,a067310,0.30,0.37,3.71
와이지엔터테인먼트 KOSDAQ,a122870,0.95,0.23,1.05
효성중공업 KOSPI,a298040,0.02,0.58,74.83
에코프로에이치엔 KOSDAQ,a383310,1.81,0.34,0.62
삼성중공업 KOSPI,a010140,0.20,0.44,5.62
브이티 KOSDAQ,a018290,0.39,0.21,2.54
솔브레인홀딩스 KOSDAQ,a036830,0.47,0.36,2.19
성호전자 KOSDAQ,a043260,0.04,0.36,23.94
에스에프에이 KOSDAQ,a056190,1.38,0.40,0.71
오스코텍 KOSDAQ,a039200,0.46,0.52,2.39
피엔티 KOSDAQ,a137400,0.90,0.41,1.19
현대사료 KOSDAQ,a016790,0.71,0.25,1.35
SK텔레콤 KOSPI,a017670,0.48,0.27,2.07
LG생활건강 KOSPI,a051900,2.04,0.39,0.48
티씨케이 KOSDAQ,a064760,0.43,0.49,2.50
한화시스템 KOSPI,a272210,0.12,0.46,9.55
우리금융지주 KOSPI,a316140,0.39,0.48,2.63
하이브 KOSPI,a352820,0.51,0.23,1.93
동화기업 KOSDAQ,a025900,3.03,0.80,0.35
undefined,a051980,0.31,NaN,3.24
유진테크 KOSDAQ,a084370,0.21,0.56,5.29
제이앤티씨 KOSDAQ,a204270,0.25,0.30,4.50
에스피지 KOSDAQ,a058610,0.15,0.43,7.15
undefined,a372170,1.00,NaN,1.00
유한양행 KOSPI,a000100,0.66,0.40,1.56
S-Oil KOSPI,a010950,0.80,0.32,1.29
기업은행 KOSPI,a024110,0.50,0.50,2.02
비에이치아이 KOSDAQ,a083650,0.07,0.33,14.74
SK오션플랜트 KOSPI,a100090,1.03,0.23,0.88
피에스케이홀딩스 KOSDAQ,a031980,0.07,0.27,14.81
엔씨소프트 KOSPI,a036570,1.37,0.39,0.76
현대바이오 KOSDAQ,a048410,1.75,0.26,0.55
HK이노엔 KOSDAQ,a195940,0.79,0.37,1.27
두산 KOSPI,a000150,0.04,0.29,25.91
대한항공 KOSPI,a003490,0.82,0.50,1.23
KT KOSPI,a030200,0.71,0.63,1.47
케이엠더블유 KOSDAQ,a032500,0.79,0.38,1.42
카페24 KOSDAQ,a042000,0.52,0.30,2.10
SOOP KOSDAQ,a067160,1.59,0.35,0.66
고영 KOSDAQ,a098460,0.37,0.42,2.91
미래에셋벤처투자 KOSDAQ,a100790,0.09,0.39,11.48
와이씨 KOSDAQ,a232140,0.24,0.44,4.90
디어유 KOSDAQ,a376300,1.15,0.39,0.89
피에스케이 KOSDAQ,a319660,0.17,0.39,6.04
한화솔루션 KOSPI,a009830,1.43,0.40,0.69
바이오니아 KOSDAQ,a064550,3.12,0.32,0.34
undefined,a476830,1.00,NaN,1.00
제룡전기 KOSDAQ,a033100,0.17,0.48,6.49
undefined,a160190,1.00,NaN,1.00
undefined,a437730,1.00,NaN,1.00
HD현대 KOSPI,a267250,0.21,0.48,4.92
undefined,a0126z0,1.00,NaN,1.00
현대글로비스 KOSPI,a086280,0.68,0.41,1.52
아모레퍼시픽 KOSPI,a090430,0.80,0.30,1.28
HLB테라퓨틱스 KOSDAQ,a115450,2.37,0.38,0.41
undefined,a445680,1.00,NaN,1.00
두산테스나 KOSDAQ,a131970,0.16,0.43,6.41
undefined,a215600,3.57,NaN,0.28
카카오페이 KOSPI,a377300,0.71,0.31,1.39
비츠로셀 KOSDAQ,a082920,0.24,0.42,4.39
금양 KOSPI,a001570,0.39,0.30,2.33
포스코엠텍 KOSDAQ,a009520,0.38,0.17,2.40
LIG넥스원 KOSPI,a079550,0.12,0.39,8.84
undefined,a418550,1.00,NaN,1.00
현대건설 KOSPI,a000720,0.23,0.36,4.32
에스앤에스텍 KOSDAQ,a101490,0.37,0.32,2.63
RFHIC KOSDAQ,a218410,0.24,0.44,4.56
엘앤씨바이오 KOSDAQ,a290650,0.30,0.32,3.49
LG이노텍 KOSPI,a011070,0.21,0.30,5.16
하이드로리튬 KOSDAQ,a101670,5.40,0.20,0.15
덕산네오룩스 KOSDAQ,a213420,1.01,0.33,1.01
라이프시맨틱스 KOSDAQ,a347700,0.09,0.27,10.83
롯데케미칼 KOSPI,a011170,1.69,0.35,0.59
태성 KOSDAQ,a323280,0.03,0.41,42.36
LS마린솔루션 KOSDAQ,a060370,0.16,0.34,6.10
차바이오텍 KOSDAQ,a085660,0.92,0.36,1.06
메가스터디교육 KOSDAQ,a215200,2.04,0.26,0.49
SK바이오사이언스 KOSPI,a302440,1.87,0.46,0.55
SK바이오팜 KOSPI,a326030,0.66,0.39,1.61
undefined,a358570,1.00,NaN,1.00
undefined,a420770,1.00,NaN,1.00
선광 KOSDAQ,a003100,5.44,0.39,0.18
SFA반도체 KOSDAQ,a036540,0.58,0.41,1.81
한국항공우주 KOSPI,a047810,0.27,0.32,3.87
씨앤씨인터내셔널 KOSDAQ,a352480,1.13,0.37,0.92
가온칩스 KOSDAQ,a399720,0.37,0.42,2.99
undefined,a458870,1.00,NaN,1.00
성우하이텍 KOSDAQ,a015750,0.66,0.22,1.42
CJ제일제당 KOSPI,a097950,1.94,0.22,0.49
쎄트렉아이 KOSDAQ,a099320,0.19,0.52,5.54
삼양식품 KOSPI,a003230,0.09,0.43,11.08
에스티큐브 KOSDAQ,a052020,1.28,0.24,0.75
undefined,a078130,1.00,NaN,1.00
SK아이이테크놀로지 KOSPI,a361610,2.37,0.27,0.40
DB손해보험 KOSPI,a005830,0.38,0.23,2.69
안랩 KOSDAQ,a053800,0.94,0.26,1.02
컴투스 KOSDAQ,a078340,2.49,0.33,0.39
원텍 KOSDAQ,a336570,0.35,0.26,2.94
F&F KOSPI,a383220,1.78,0.39,0.55
삼성E&A KOSPI,a028050,0.41,0.26,2.35
제주반도체 KOSDAQ,a080220,0.04,0.30,25.87
필옵틱스 KOSDAQ,a161580,0.20,0.45,5.33
하나머티리얼즈 KOSDAQ,a166090,0.53,0.34,2.00
한진칼 KOSPI,a180640,0.37,0.47,2.87
넷마블 KOSPI,a251270,0.98,0.27,1.01
,a287410,0.58,0.43,1.83
현대오토에버 KOSPI,a307950,0.13,0.43,8.04
undefined,a443060,1.00,NaN,1.00
코스모신소재 KOSPI,a005070,1.15,0.36,0.86
undefined,a491000,1.00,NaN,1.00
LS KOSPI,a006260,0.16,0.57,7.16
코나아이 KOSDAQ,a052400,0.31,0.44,3.61
네오위즈 KOSDAQ,a095660,1.85,0.38,0.55
undefined,a454910,1.00,NaN,1.00
강원랜드 KOSPI,a035250,1.48,0.40,0.66
코스메카코리아 KOSDAQ,a241710,0.10,0.34,10.82
undefined,a278470,1.00,NaN,1.00
이수페타시스 KOSPI,a007660,0.05,0.29,22.40
SKC KOSPI,a011790,0.83,0.54,1.46
LG유플러스 KOSPI,a032640,0.63,0.35,1.56
한국타이어앤테크놀로지 KOSPI,a161390,0.51,0.32,1.93
위지윅스튜디오 KOSDAQ,a299900,11.63,0.33,0.08
LG디스플레이 KOSPI,a034220,0.76,0.39,1.31
한국금융지주 KOSPI,a071050,0.20,0.45,5.10
두산밥캣 KOSPI,a241560,0.45,0.46,2.17
오리온 KOSPI,a271560,0.77,0.32,1.27
유일로보틱스 KOSDAQ,a388720,0.30,0.33,3.43
undefined,a466100,1.00,NaN,1.00
비에이치 KOSPI,a090460,0.79,0.53,1.32
삼표시멘트 KOSDAQ,a038500,0.29,0.26,3.51
HLB제약 KOSDAQ,a047920,1.14,0.34,0.90
엠로 KOSDAQ,a058970,0.48,0.43,2.16
undefined,a088980,1.00,NaN,1.00
아주IB투자 KOSDAQ,a027360,0.22,0.35,4.55
키움증권 KOSPI,a039490,0.20,0.34,4.99
미래나노텍 KOSDAQ,a095500,1.67,0.34,0.60
undefined,a115180,0.29,NaN,3.44
콜마비앤에이치 KOSDAQ,a200130,2.00,0.26,0.48
NH투자증권 KOSPI,a005940,0.30,0.54,3.46
HD현대미포 KOSPI,a010620,0.44,0.39,2.42
성광벤드 KOSDAQ,a014620,0.39,0.27,2.49
NICE평가정보 KOSPI,a030190,0.88,0.39,1.15
씨아이에스 KOSDAQ,a222080,1.05,0.38,0.97
undefined,a460930,1.00,NaN,1.00
코웨이 KOSPI,a021240,0.60,0.35,1.67
아이센스 KOSDAQ,a099190,0.93,0.24,1.05
undefined,a114190,0.62,NaN,1.62
코미코 KOSDAQ,a183300,0.54,0.36,1.82
덕산테코피아 KOSDAQ,a317330,0.87,0.47,1.17
에이프릴바이오 KOSDAQ,a397030,0.10,0.56,11.17
테스 KOSDAQ,a095610,0.15,0.45,7.20
골프존 KOSDAQ,a215000,2.70,0.33,0.37
undefined,a456160,1.00,NaN,1.00
한온시스템 KOSPI,a018880,1.25,0.26,0.76
시노펙스 KOSDAQ,a025320,0.46,0.33,2.14
우리기술투자 KOSDAQ,a041190,0.70,0.40,1.37
대우건설 KOSPI,a047040,0.15,0.37,6.59
휴림로봇 KOSDAQ,a090710,0.48,0.39,2.01
undefined,a486990,1.00,NaN,1.00
대한전선 KOSPI,a001440,0.28,0.25,3.50
코웰패션 KOSDAQ,a033290,2.74,0.55,0.38
티에스이 KOSDAQ,a131290,0.18,0.33,5.42
동성화인텍 KOSDAQ,a033500,0.52,0.42,1.95
undefined,a064400,1.00,NaN,1.00
원익QnC KOSDAQ,a074600,0.80,0.28,1.32
GS KOSPI,a078930,0.63,0.39,1.62
동국제약 KOSDAQ,a086450,0.78,0.38,1.26
,a119860,0.99,0.42,1.05
현대제철 KOSPI,a004020,0.72,0.37,1.38
금호석유 KOSPI,a011780,1.04,0.47,1.02
삼성카드 KOSPI,a029780,0.65,0.48,1.53
유진로봇 KOSDAQ,a056080,0.23,0.38,5.04
리튬포어스 KOSDAQ,a073570,5.56,0.00,0.18
인텔리안테크 KOSDAQ,a189300,0.47,0.48,2.23
한화 KOSPI,a000880,0.20,0.47,5.51
삼성증권 KOSPI,a016360,0.26,0.41,3.95
지씨셀 KOSDAQ,a144510,2.28,0.21,0.43
이오플로우 KOSDAQ,a294090,0.73,0.30,1.42
아난티 KOSDAQ,a025980,1.02,0.28,0.96
이엠텍 KOSDAQ,a091120,4.95,0.31,0.20
양지사 KOSDAQ,a030960,9.00,0.23,0.10
데브시스터즈 KOSDAQ,a194480,3.06,0.38,0.35
에코앤드림 KOSDAQ,a101360,1.83,0.33,0.53
하나기술 KOSDAQ,a299030,2.94,0.33,0.32
이녹스첨단소재 KOSDAQ,a272290,0.95,0.42,1.06
위메이드맥스 KOSDAQ,a101730,4.28,0.37,0.25
undefined,a376900,1.00,NaN,1.00
태웅 KOSDAQ,a044490,0.27,0.34,3.96
디엔에이링크 KOSDAQ,a127120,0.08,0.31,11.58
펌텍코리아 KOSDAQ,a251970,0.43,0.28,2.35
undefined,a389470,1.00,NaN,1.00
바이넥스 KOSDAQ,a053030,1.30,0.35,0.79
undefined,a062040,1.00,NaN,1.00
넥스틴 KOSDAQ,a348210,0.74,0.34,1.40
큐렉소 KOSDAQ,a060280,0.65,0.41,1.61
한미약품 KOSPI,a128940,0.52,0.47,2.08
롯데지주 KOSPI,a004990,1.28,0.34,0.79
셀바스AI KOSDAQ,a108860,0.47,0.36,2.13
아이티센 KOSDAQ,a124500,0.09,0.49,12.06
새로닉스 KOSDAQ,a042600,0.93,0.33,1.01
undefined,a354320,1.00,NaN,1.00
앱클론 KOSDAQ,a174900,0.47,0.39,2.25
HD현대건설기계 KOSPI,a267270,0.29,0.73,4.26
BGF리테일 KOSPI,a282330,1.47,0.23,0.68
undefined,a445090,1.00,NaN,1.00
DB하이텍 KOSPI,a000990,0.24,0.47,4.20
한글과컴퓨터 KOSDAQ,a030520,0.63,0.31,1.55
서울반도체 KOSDAQ,a046890,0.80,0.33,1.26
바이오다인 KOSDAQ,a314930,0.38,0.32,2.73
아모레G KOSPI,a002790,1.05,0.31,0.93
한국가스공사 KOSPI,a036460,0.93,0.36,1.06
에프에스티 KOSDAQ,a036810,0.45,0.36,2.42
아이티엠반도체 KOSDAQ,a084850,2.07,0.12,0.44
지오릿에너지 KOSDAQ,a270520,0.51,0.24,1.93
undefined,a468530,1.00,NaN,1.00
가온전선 KOSPI,a000500,0.05,0.50,22.68
태광 KOSDAQ,a023160,0.45,0.45,2.22
이엔에프테크놀로지 KOSDAQ,a102710,0.55,0.43,1.90
휴마시스 KOSDAQ,a205470,1.48,0.33,0.66
undefined,a462870,1.00,NaN,1.00
동신건설 KOSDAQ,a025950,1.10,0.36,0.87
브이엠 KOSDAQ,a089970,0.23,0.33,4.08
씨에스윈드 KOSPI,a112610,1.20,0.28,0.82
에스디바이오센서 KOSPI,a137310,3.70,0.31,0.27
티앤엘 KOSDAQ,a340570,0.68,0.40,1.56
코난테크놀로지 KOSDAQ,a402030,0.56,0.67,1.86
호텔신라 KOSPI,a008770,1.27,0.32,0.78
웹젠 KOSDAQ,a069080,1.35,0.36,0.74
이마트 KOSPI,a139480,0.95,0.34,1.05
CJ KOSPI,a001040,0.45,0.50,2.30
undefined,a439090,1.00,NaN,1.00
현대해상 KOSPI,a001450,0.91,0.34,1.09
팬오션 KOSPI,a028670,0.77,0.38,1.27
휴온스글로벌 KOSDAQ,a084110,0.66,0.48,1.72
undefined,a287840,1.00,NaN,1.00
엔젤로보틱스 KOSDAQ,a455900,1.00,NaN,1.00
롯데에너지머티리얼즈 KOSPI,a020150,1.09,0.27,1.01
비올 KOSDAQ,a335890,0.17,0.34,6.48
undefined,a388210,1.00,NaN,1.00
한전기술 KOSPI,a052690,0.42,0.33,2.62
JB금융지주 KOSPI,a175330,0.32,0.38,3.39
삼양컴텍 KOSDAQ,a484590,0.99,NaN,1.00
GS리테일 KOSPI,a007070,0.93,0.26,1.07
인탑스 KOSDAQ,a049070,1.50,0.38,0.70
다원시스 KOSDAQ,a068240,5.94,0.26,0.16
선익시스템 KOSDAQ,a171090,0.21,0.39,5.75
유바이오로직스 KOSDAQ,a206650,1.03,0.25,0.93
아이쓰리시스템 KOSDAQ,a214430,0.20,0.25,4.99
박셀바이오 KOSDAQ,a323990,4.95,0.23,0.20
undefined,a476060,1.00,NaN,1.00
코스모화학 KOSPI,a005420,1.63,0.29,0.63
일진전기 KOSPI,a103590,0.05,0.42,22.48
엔케이맥스 KOSDAQ,a182400,3.19,0.25,0.31
세미파이브 KOSDAQ,a490470,1.00,NaN,1.00
,a003410,0.81,0.29,1.24
undefined,a378340,1.00,NaN,1.00
오픈엣지테크놀로지 KOSDAQ,a394280,0.54,0.29,1.84
undefined,a424870,1.00,NaN,1.00
솔트룩스 KOSDAQ,a304100,0.38,0.40,2.96
농심 KOSPI,a004370,0.77,0.41,1.28
undefined,a033790,1.00,NaN,1.00
제넥신 KOSDAQ,a095700,4.14,0.23,0.22
클리오 KOSDAQ,a237880,1.08,0.33,0.93
한미사이언스 KOSPI,a008930,1.03,0.50,1.03
undefined,a053610,0.28,NaN,3.61
